title,link,published,clean_title,word_count,sentiment
Japan to help US build major gas pipeline in Alaska — Trump,https://tass.com/world/2079557,"Sat, 31 Jan 2026 02:57:58 +0300",Japan to help US build major gas pipeline in Alaska  Trump,11,0.0625
Venezuela and India strengthen strategic cooperation — Rodriguez,https://tass.com/world/2079555,"Sat, 31 Jan 2026 02:56:50 +0300",Venezuela and India strengthen strategic cooperation  Rodriguez,7,0.0
"State Department approves sale of $5.7 billion of armored vehicles, helicopters to Israel",https://tass.com/world/2079553,"Sat, 31 Jan 2026 02:55:58 +0300",State Department approves sale of 57 billion of armored vehicles helicopters to Israel,13,0.0
Abandoning New START carries too many risks for US — The American Conservative,https://tass.com/world/2079551,"Sat, 31 Jan 2026 02:55:26 +0300",Abandoning New START carries too many risks for US  The American Conservative,12,0.21212121212121213
"US duties play important role in conflict resolution, says Trump",https://tass.com/world/2079549,"Sat, 31 Jan 2026 02:18:18 +0300",US duties play important role in conflict resolution says Trump,10,0.4
Trump says attracted $18 trillion in investment per year against $1 trillion under Biden,https://tass.com/world/2079547,"Sat, 31 Jan 2026 02:17:19 +0300",Trump says attracted 18 trillion in investment per year against 1 trillion under Biden,14,0.0
Trump hopes US Supreme Court monitors results of his tariff policy,https://tass.com/world/2079543,"Sat, 31 Jan 2026 01:55:49 +0300",Trump hopes US Supreme Court monitors results of his tariff policy,11,0.0
Trump not to back down from trying to get Greenland — Jeffrey Sachs,https://tass.com/world/2079539,"Sat, 31 Jan 2026 01:16:50 +0300",Trump not to back down from trying to get Greenland  Jeffrey Sachs,12,-0.07777777777777778
Western intelligence agencies find no evidence of Iran's creation of nuclear weapons — NYT,https://tass.com/world/2079537,"Sat, 31 Jan 2026 01:09:47 +0300",Western intelligence agencies find no evidence of Irans creation of nuclear weapons  NYT,13,0.0
Netherlands ruling coalition declares Russia ‘key security threat’,https://tass.com/world/2079535,"Sat, 31 Jan 2026 00:23:38 +0300",Netherlands ruling coalition declares Russia key security threat,8,0.0
